,,,,,
n,t(s),Position(cm),t(min),Error in Position (cm),Error in time (s)
1,0,-0.9,0,0.3,0.5
2,30,-0.8,0.5,0.3,0.5
3,60,-0.1,1,0.3,0.5
4,90,0.9,1.5,0.3,0.5
5,120,2.5,2,0.3,0.5
6,150,4.4,2.5,0.3,0.5
7,180,6.5,3,0.3,0.5
8,210,8.2,3.5,0.3,0.5
9,240,10.1,4,0.3,0.5
10,270,11.6,4.5,0.3,0.5
11,300,12.5,5,0.3,0.5
12,330,13,5.5,0.3,0.5
13,360,12.8,6,0.3,0.5
14,390,12.1,6.5,0.3,0.5
15,420,11.2,7,0.3,0.5
16,450,10,7.5,0.3,0.5
17,480,8.3,8,0.3,0.5
18,510,6.9,8.5,0.3,0.5
19,540,5.6,9,0.3,0.5
20,570,4.4,9.5,0.3,0.5
21,600,3.6,10,0.3,0.5
22,630,3.1,10.5,0.3,0.5
23,660,3,11,0.3,0.5
24,690,3.7,11.5,0.3,0.5
25,720,4.4,12,0.3,0.5
26,750,5,12.5,0.3,0.5
27,780,5.8,13,0.3,0.5
28,810,7.1,13.5,0.3,0.5
29,840,8.1,14,0.3,0.5
30,870,9.2,14.5,0.3,0.5
31,900,10.1,15,0.3,0.5
32,930,10.6,15.5,0.3,0.5
33,960,10.9,16,0.3,0.5
34,990,10.8,16.5,0.3,0.5
35,1020,10.5,17,0.3,0.5
36,1050,9.9,17.5,0.3,0.5
37,1080,9,18,0.3,0.5
38,1110,8.1,18.5,0.3,0.5
39,1140,7.1,19,0.3,0.5
40,1170,6.2,19.5,0.3,0.5
41,1200,5.5,20,0.3,0.5
42,1230,5.1,20.5,0.3,0.5
43,1260,4.7,21,0.3,0.5
44,1290,4.6,21.5,0.3,0.5
45,1320,4.9,22,0.3,0.5
46,1350,5.2,22.5,0.3,0.5
47,1380,5.6,23,0.3,0.5
48,1410,6.2,23.5,0.3,0.5
49,1440,6.9,24,0.3,0.5
50,1470,7.8,24.5,0.3,0.5
51,1500,8.4,25,0.3,0.5
52,1530,9.1,25.5,0.3,0.5
53,1560,9.5,26,0.3,0.5
54,1590,9.6,26.5,0.3,0.5
55,1620,9.5,27,0.3,0.5
56,1650,9.4,27.5,0.3,0.5
57,1680,9,28,0.3,0.5
58,1710,8.6,28.5,0.3,0.5
59,1740,8.1,29,0.3,0.5
60,1770,7.5,29.5,0.3,0.5
61,1800,6.9,30,0.3,0.5
62,1830,6.2,30.5,0.3,0.5
63,1860,5.8,31,0.3,0.5
64,1890,5.5,31.5,0.3,0.5
65,1920,5.4,32,0.3,0.5
66,1950,5.5,32.5,0.3,0.5
67,1980,5.7,33,0.3,0.5
68,2010,6.2,33.5,0.3,0.5
69,2040,6.8,34,0.3,0.5
70,2070,7.1,34.5,0.3,0.5
71,2100,7.6,35,0.3,0.5
72,2130,8,35.5,0.3,0.5
73,2160,8.3,36,0.3,0.5
74,2190,9.1,36.5,0.3,0.5
75,2220,9.3,37,0.3,0.5
76,2250,9.2,37.5,0.3,0.5
77,2280,9.1,38,0.3,0.5
78,2310,8.4,38.5,0.3,0.5
79,2340,8.1,39,0.3,0.5
80,2370,7.9,39.5,0.3,0.5
81,2400,7.5,40,0.3,0.5
82,2430,7.1,40.5,0.3,0.5
83,2460,6.6,41,0.3,0.5
84,2490,6.4,41.5,0.3,0.5
85,2520,6.2,42,0.3,0.5
86,2550,6,42.5,0.3,0.5
87,2580,6,43,0.3,0.5
88,2610,6.2,43.5,0.3,0.5
89,2640,6.4,44,0.3,0.5
90,2670,6.5,44.5,0.3,0.5
91,2700,6.9,45,0.3,0.5
92,2730,7.4,45.5,0.3,0.5
93,2760,7.7,46,0.3,0.5
94,2790,8.1,46.5,0.3,0.5
95,2820,8.3,47,0.3,0.5
96,2850,8.5,47.5,0.3,0.5
97,2880,8.6,48,0.3,0.5
98,2910,8.6,48.5,0.3,0.5
99,2940,8.5,49,0.3,0.5
100,2970,8.2,49.5,0.3,0.5
101,3000,8,50,0.3,0.5
102,3030,7.8,50.5,0.3,0.5
103,3060,7.6,51,0.3,0.5
104,3090,7.2,51.5,0.3,0.5
105,3120,6.9,52,0.3,0.5
106,3150,6.7,52.5,0.3,0.5
107,3180,6.4,53,0.3,0.5
108,3210,6.4,53.5,0.3,0.5
109,3240,6.5,54,0.3,0.5
110,3270,6.7,54.5,0.3,0.5
111,3300,6.9,55,0.3,0.5
112,3330,7,55.5,0.3,0.5
113,3360,7.5,56,0.3,0.5
114,3390,7.7,56.5,0.3,0.5
115,3420,8,57,0.3,0.5
116,3450,8.1,57.5,0.3,0.5
117,3480,8.3,58,0.3,0.5
118,3510,8.5,58.5,0.3,0.5
119,3540,8.5,59,0.3,0.5
120,3570,8.4,59.5,0.3,0.5
121,3600,8.3,60,0.3,0.5
122,3630,8.1,60.5,0.3,0.5
123,3660,7.9,61,0.3,0.5
,3690,7.6,61.5,,
,3720,7.5,62,,
,3750,7.5,62.5,,
,3780,7.3,63,,
,3810,7.2,63.5,,
,3840,7.3,64,,
,3870,7.4,64.5,,
,3900,7.5,65,,
,3930,7.7,65.5,,
,3960,7.9,66,,
,3990,8.1,66.5,,
,4020,8.2,67,,
,4050,8.4,67.5,,
,4080,8.5,68,,
,4110,8.4,68.5,,
,4140,8.4,69,,
,4170,8.1,69.5,,
,4200,8,70,,
,4230,7.7,70.5,,
,4260,7.5,71,,
,4290,7.3,71.5,,
,4320,7,72,,
,4350,6.8,72.5,,
,4380,6.7,73,,
,4410,6.5,73.5,,
,4440,6.6,74,,
,4470,6.8,74.5,,
,4500,7.1,75,,
