,,,,,
n,t(s),Position(cm),t(min),Error in Position (cm),Error in time (s)
1,0,-0.3,0,0.3,0.5
2,30,-0.1,0.5,0.3,0.5
3,60,0.5,1,0.3,0.5
4,90,1.4,1.5,0.3,0.5
5,120,2.6,2,0.3,0.5
6,150,4.4,2.5,0.3,0.5
7,180,6.2,3,0.3,0.5
8,210,7.8,3.5,0.3,0.5
9,240,9.5,4,0.3,0.5
10,270,10.8,4.5,0.3,0.5
11,300,11.7,5,0.3,0.5
12,330,12.4,5.5,0.3,0.5
13,360,12.4,6,0.3,0.5
14,390,11.6,6.5,0.3,0.5
15,420,11,7,0.3,0.5
16,450,9.9,7.5,0.3,0.5
17,480,8.5,8,0.3,0.5
18,510,7.2,8.5,0.3,0.5
19,540,5.6,9,0.3,0.5
20,570,4.8,9.5,0.3,0.5
21,600,4,10,0.3,0.5
22,630,3.5,10.5,0.3,0.5
23,660,3.3,11,0.3,0.5
24,690,3.6,11.5,0.3,0.5
25,720,4.2,12,0.3,0.5
26,750,5.1,12.5,0.3,0.5
27,780,6.3,13,0.3,0.5
28,810,7.6,13.5,0.3,0.5
29,840,8.3,14,0.3,0.5
30,870,9.9,14.5,0.3,0.5
31,900,10.6,15,0.3,0.5
32,930,11.2,15.5,0.3,0.5
33,960,11.4,16,0.3,0.5
34,990,11.3,16.5,0.3,0.5
35,1020,11.1,17,0.3,0.5
36,1050,10.6,17.5,0.3,0.5
37,1080,10,18,0.3,0.5
38,1110,8.9,18.5,0.3,0.5
39,1140,8.1,19,0.3,0.5
40,1170,7.4,19.5,0.3,0.5
41,1200,6.9,20,0.3,0.5
42,1230,5.8,20.5,0.3,0.5
43,1260,5.5,21,0.3,0.5
44,1290,5,21.5,0.3,0.5
45,1320,4.9,22,0.3,0.5
46,1350,5.1,22.5,0.3,0.5
47,1380,5.4,23,0.3,0.5
48,1410,5.8,23.5,0.3,0.5
49,1440,6.5,24,0.3,0.5
50,1470,7.1,24.5,0.3,0.5
51,1500,7.7,25,0.3,0.5
52,1530,8.1,25.5,0.3,0.5
53,1560,8.5,26,0.3,0.5
54,1590,8.8,26.5,0.3,0.5
55,1620,8.9,27,0.3,0.5
56,1650,8.9,27.5,0.3,0.5
57,1680,8.7,28,0.3,0.5
58,1710,8.1,28.5,0.3,0.5
59,1740,7.6,29,0.3,0.5
60,1770,7.4,29.5,0.3,0.5
61,1800,6.9,30,0.3,0.5
62,1830,6.5,30.5,0.3,0.5
63,1860,6.3,31,0.3,0.5
64,1890,6.1,31.5,0.3,0.5
65,1920,6.2,32,0.3,0.5
66,1950,6.5,32.5,0.3,0.5
67,1980,7,33,0.3,0.5
68,2010,7.5,33.5,0.3,0.5
69,2040,7.7,34,0.3,0.5
70,2070,8,34.5,0.3,0.5
71,2100,8.2,35,0.3,0.5
72,2130,8.3,35.5,0.3,0.5
73,2160,8.3,36,0.3,0.5
74,2190,8,36.5,0.3,0.5
75,2220,7.6,37,0.3,0.5
76,2250,7.1,37.5,0.3,0.5
77,2280,6.9,38,0.3,0.5
78,2310,5.6,38.5,0.3,0.5
79,2340,5.1,39,0.3,0.5
80,2370,4.7,39.5,0.3,0.5
81,2400,4.5,40,0.3,0.5
82,2430,4.3,40.5,0.3,0.5
83,2460,4.4,41,0.3,0.5
84,2490,4.4,41.5,0.3,0.5
85,2520,4.5,42,0.3,0.5
86,2550,4.6,42.5,0.3,0.5
87,2580,4.9,43,0.3,0.5
88,2610,5,43.5,0.3,0.5
89,2640,5.1,44,0.3,0.5
90,2670,5.1,44.5,0.3,0.5
91,2700,5,45,0.3,0.5
92,2730,,45.5,0.3,0.5
93,2760,,46,0.3,0.5
94,2790,,46.5,0.3,0.5
95,2820,,47,0.3,0.5
96,2850,,47.5,0.3,0.5
97,2880,,48,0.3,0.5
98,2910,,48.5,0.3,0.5
99,2940,,49,0.3,0.5
100,2970,,49.5,0.3,0.5
101,3000,,50,0.3,0.5
102,3030,,50.5,0.3,0.5
103,3060,,51,0.3,0.5
104,3090,,51.5,0.3,0.5
105,3120,,52,0.3,0.5
106,3150,,52.5,0.3,0.5
107,3180,,53,0.3,0.5
108,3210,,53.5,0.3,0.5
109,3240,,54,0.3,0.5
110,3270,,54.5,0.3,0.5
111,3300,,55,0.3,0.5
112,3330,,55.5,0.3,0.5
113,3360,,56,0.3,0.5
114,3390,,56.5,0.3,0.5
115,3420,,57,0.3,0.5
116,3450,,57.5,0.3,0.5
117,3480,,58,0.3,0.5
118,3510,,58.5,0.3,0.5
119,3540,,59,0.3,0.5
120,3570,,59.5,0.3,0.5
121,3600,,60,0.3,0.5
122,3630,,60.5,0.3,0.5
123,3660,,61,0.3,0.5
